journal,is_ling
AAS Open Research,0
Academy of Management Discoveries,0
Acta Psychologica,0
Addiction Research & Theory,0
Advances in Methods and Practices in Psychological Science,0
Affective Science,0
AMRC Open Research,0
Analyses of Social Issues and Public Policy,0
Animal Behavior and Cognition,0
Animals,0
Applied Cognitive Psychology,0
Archive for the Psychology of Religion,0
Assessment,0
"Attention, Perception, and Psychophysics",0
Auditory Perception and Cognition,0
Basic and Applied Social Psychology,0
Behavioral Neuroscience,0
Bilingualism: Language and Cognition,1
Biolinguistics,1
Biological Psychiatry: Global Open Science,0
Biomedicine Hub,0
BMC Biology,0
BMC Medicine,0
BMJ Open Science,0
Brain and Behavior,0
Brain and Cognition,0
Brain and Neuroscience Advances,0
Brain Communications,0
British Journal of Clinical Psychology,0
British Journal of Developmental Psychology,0
British Journal of Educational Psychology,0
British Journal of General Practice,0
British Journal of Health Psychology,0
British Journal of Mathematical and Statistical Psychology,0
British Journal of Psychology,0
British Journal of Social Psychology,0
Buildings and Cites,0
Business & Information Systems Engineering (BISE),0
Campbell Systematic Reviews,0
Canadian Journal of Experimental Psychology,0
Canadian Journal of School Psychology,0
Cancer Medicine,0
Cancer Reports,0
Cancers,0
Clinical Endocrinology,0
Clinical Otolaryngology,0
Clinical Psychology in Europe,0
Clocks and Sleep,0
Cochrane Reviews,0
Cogent Psychology,0
Cognition and Emotion,0
Cognitive Linguistics,1
Cognitive Research: Principles and Implications,0
Collabra,0
Communication Research Reports,0
Comprehensive Results in Social Psychology,0
Computational Communication Research,0
Computational Psychiatry,0
Consciousness and Cognition,0
Conservation Biology,0
Cortex,0
Crisis,0
Cultural Diversity & Ethnic Minority Psychology,0
Culture and Evolution,0
Decision,0
Developmental Cognitive Neuroscience,0
Developmental Psychology,0
Developmental Science,0
Discourse Processes,0
Discover Chemical Engineering,0
Discover Energy,0
Discover Internet of Things,0
Discover Materials,0
Discover Oncology,0
Discover Social Science and Health,0
Discover Sustainability,0
Discover Water,0
Drug and Alcohol Dependence,0
Ecology and Evolution,0
Ecological Solutions and Evidence,0
Emerald Open Research,0
Emerging Adulthood,0
"Endocrinology, Diabetes & Metabolism",0
eNeuro,0
Entrepreneurship Theory and Practice,0
Environment International,0
Equine Veterinary Journal,0
European Journal of Cancer Care,0
European Journal of Neuroscience,0
European Journal of Personality,0
European Journal of Psychological Assessment,0
European Journal of Psychotraumatology,0
Ethology,0
Evolution and Human Behavior,0
Evolutionary Human Sciences,0
Exceptional Children,0
Experimental Physiology,0
Experimental Psychology,0
F1000Research,0
Fertility and Sterility,0
Frontiers in Communication,0
Frontiers in Communications and Networks,0
Frontiers in Computer Science,0
Frontiers in Education,0
Frontiers in Genetics,0
Frontiers in Neuroscience,0
Frontiers in Nutrition,0
Frontiers in Plant Science,0
Frontiers in Psychiatry,0
Frontiers in Psychology,0
Frontiers in Sociology,0
Frontiers in Sports and Active Living,0
Frontiers in Virtual Reality,0
Gates Open Research,0
Gesture,0
Gifted Child Quarterly,0
Glossa Psycholinguistics,1
Health Psychology and Behavioral Medicine,0
Health Psychology Bulletin,0
HRB Open Research,0
Human Behavior and Emerging Technologies,0
Human Movement Science,0
Human Resource Management Journal,0
"Immunity, Inflammation and Disease",0
Infancy,0
Infant and Child Development,0
Infant Behavior and Development,0
Interactive Journal of Medical Research,0
Interdisciplinary Perspectives on the Built Environment,0
International Journal of Eating Disorders,0
International Journal of Psychophysiology,0
International Journal of Selection and Assessment,0
International Review of Social Psychology,0
i-Perception,0
Japanese Journal of Political Science,0
JMIR Aging,0
JMIR Bioinformatics and Biotechnology,0
JMIR Biomedical Engineering,0
JMIR Cancer,0
JMIR Cardio,0
JMIR Challenges,0
JMIR Dermatology,0
JMIR Diabetes,0
JMIR Formative Research,0
JMIR Human Factors,0
JMIR Medical Education,0
JMIR Medical Informatics,0
JMIR Mental Health,0
JMIR mHealth and uHealth,0
JMIR Nursing,0
JMIR Pediatrics and Parenting,0
JMIR Perioperative Medicine,0
JMIR Public Health and Surveillance,0
JMIR Rehabilitation and Assistive Technologies,0
JMIR Serious Games,0
Journal for Reproducibility in Neuroscience,0
Journal for the Education of the Gifted,0
Journal of Advanced Academics,0
Journal of Child Language,1
Journal of Clinical Medicine,0
Journal of Clinical Nursing,0
Journal of Cognition,0
Journal of Cognition and Development,0
Journal of Cognitive Enhancement ,0
Journal of Cognitive Neuroscience,0
Journal of Cognitive Psychology,0
Journal of Hospitality & Tourism Research,0
Journal of Individual Differences,0
Journal of Development Economics,0
Journal of Educational Psychology,0
Journal of European Psychology Students,0
Journal of Evidence-Based Healthcare,0
Journal of Experimental Political Science,0
"Journal of Experimental Psychology: Learning, Memory, and Cognition",0
Journal of Experimental Social Psychology,0
Journal of Illusion,0
Journal of Integrated Security and Safety Science,0
Journal of Media Psychology,0
Journal of Medical Internet Research (JMIR),0
Journal of Memory and Language,1
Journal of Neuropsychology,0
Journal of Neuroscience Research,0
Journal of Numerical Cognition,0
Journal of Occupational and Organizational Psychology,0
Journal of Participatory Medicine,0
Journal of Personality,0
Journal of Personality and Social Psychology,0
Journal of Personnel Psychology,0
Journal of Physiotherapy Research,0
Journal of Plant Nutrition and Soil Science,0
Journal of Psychiatric and Mental Health Nursing,0
Journal of Research in Personality,0
Journal of Research in Reading,0
"Journal of Speech, Language, and Hearing Research",1
Journal of Sports Sciences,0
Journal of the American Academy of Child and Adolescent Psychiatry,0
Judgment and Decision Making,0
Laboratory Phonology,0
Language and Cognition,1
Language and Speech,1
Language Learning,1
"Laterality: Asymmetries of Body, Brain, and Cognition",0
Law and Human Behavior,0
Learning and Instruction,0
Legal and Criminological Psychology,0
Legislative Studies Quarterly,0
Lifestyle Medicine,0
Linguistics,1
Management and Organization Review,0
Media Psychology,0
Medicine 2.0,0
Memory,0
Meta-psychology,0
"Mind, Brain and Education",0
MNI Open Research,0
Music Perception,0
Nature,0
Nature Communications,0
Nature Human Behaviour,0
NC3RS Gateway,0
Neurobiology of Language,1
NeuroImage Reports,0
Neuropsychopharmacology Reports,0
Neuroscience of Consciousness,0
NFS Journal,0
Nicotine & Tobacco Research,0
Nursing Reports,0
Open Psychology,0
Open Research Europe,0
Oxford Open Economics,0
Paediatric and Neonatal Pain,0
PCI Ecology,0
PCI Registered Reports,0
PeerJ Analytical Chemistry,0
PeerJ Computer Science,0
PeerJ Inorganic Chemistry,0
PeerJ Life & Environment,0
PeerJ Materials Science ,0
PeerJ Organic Chemistry,0
Perception,0
Personality Science,0
Plant Direct,0
PLOS Biology,0
PLOS ONE,0
PNAS Nexus,0
Politics and the Life Sciences,0
Psicológica,0
Psychological Assessment,0
Psychological Science,0
Psychological Test Adaptation and Development,0
Psychology and Marketing,0
"Psychology and Psychotherapy: Theory, Research and Practice",0
Psychology & Health,0
Psychology of Addictive Behaviors,0
Psychology of Sport and Exercise,0
Psychology & Sexuality,0
Psychonomic Bulletin & Review,0
Psycho-Oncology,0
Psychophysiology,0
Q Open,0
Quality of Life Research,0
Quarterly Journal of Experimental Psychology,0
Research & Politics,0
Royal Society Open Science,0
Second Language Research,1
Science and Medicine in Football,0
Scientific Reports,0
Scientific Studies of Reading,0
Social Influence,0
Social Psychological Bulletin,0
Stress and Health,0
Studia Psychologica,0
Swiss Psychology Open,0
"Technology, Mind, and Behavior",0
The International Journal for the Psychology of Religion,0
The Journal of Sex Research ,0
The Leadership Quarterly,0
The Review of Corporate Finance Studies,0
Wellcome Open Research,0
"Work, Aging and Retirement",0
Zeitschrift für Bildungsforschung,0
Adaptive Behaviour and Human Physiology,0
AERA Open,0
American Journal of Political Science,0
American Political Science Review,0
American Politics Research,0
Child Development,0
Comparative Political Studies,0
Computer Science Education,0
eLife,0
European Journal of Social Psychology,0
Experimental Economics,0
Frontiers in Psychology | Cognition,0
Journal of Accounting Research,0
Journal of Business and Psychology,0
Journal of Business Ethics,0
Journal of Computer Assisted Learning,0
Journal of Economic Psychology,0
Journal of Memory and Language,1
Learning Disabilities Quarterly,0
Media and Communication,0
NeuroImage,0
Pacific-Basin Finance Journal,0
PeerJ,0
Personal Relationships,0
Perspectives on Psychological Science,0
PLOS ONE,0
Political Analysis,0
Political Behavior,0
Political Science Quarterly,0
Political Science Research and Methods,0
Politics and the Life Sciences,0
Public Opinion Quarterly,0
Social Psychology,0
State Politics and Policy Quarterly,0
The Review of Financial Studies,0
Zeitschrift für Psychologie,0
Communication Methods and Measures,0
Journal of Experimental Psychology: General,0
