journal,x1_includes_pre_study_peer_review,x2_offers_provisional_pre_study_acceptance,x3_permanence_of_adoption,x4_offered_for_novel_studies,x5_offered_for_replication_studies,x6_offered_for_meta_analysis,x7_offered_for_analyses_of_existing_data_sets,x8_publishes_registered_reports_only,x9_allows_reporting_of_unregistered_analyses,x10_includes_post_study_peer_review,x11_allows_inclusion_of_unregistered_pilot_studies,x12_requires_public_data_deposition,x13_specifies_structured_criteria_for_editorial_decisions,x14_requires_submitted_protocols_to_have_prior_ethical_approval,x15_specifies_minimum_statistical_power_requirements,x16_will_publish_withdrawn_registrations,x17_publishes_accepted_protocols_in_full_or_part_prior_to_study_completion,x18_offers_incremental_sequential_registration,x19_offers_incremental_addition_of_unregistered_studies,x20_offered_for_qualitative_research,x21_requires_deposition_of_protocol_in_public_registry_following_stage_1_acceptance,is_ling
AAS Open Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
Academia Journal of Stroke,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Academy of Management Discoveries,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Acta Psychologica,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0
Adaptive Behaviour and Human Physiology,1,1,Special issue,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,0
Addiction Research & Theory,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Advances in Methods and Practices in Psychological Science,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,1,NA,NA,1,0
AERA Open,1,1,Special issue,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0
Affective Science,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Alimentary Pharmacology & Therapeutics,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
American Journal of Political Science,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
American Political Science Review,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
American Politics Research,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
AMRC Open Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
Animals,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,0
Animal Behavior and Cognition,1,1,Indefinite,1,1,1,1,NA,1,1 (discretionary),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0
Applied Cognitive Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
Archive for the Psychology of Religion,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1 (when feasible),1,1,NA,1,1,1,1,0
Assessment,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,0
"Attention, Perception & Psychophysics",1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0
Auditory Perception & Cognition,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Behavioral Neuroscience,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0
Bilingualism: Language and Cognition,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,1
Biolinguistics,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1
Biological Psychiatry: Global Open Science,1,1,Indefinite,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BMC Biology,1,1,Indefinite,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,0
BMC Ecology,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,0
BMC Medicine,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,1 *but negotiable for trials,1,1,1,NA,NA,1,1,0
BMJ Open Science,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1 (optional in full),1,NA,NA,1,0
Brain and Behavior,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
Brain and Cognition,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Brain and Neuroscience Advances,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Brain Communications,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,1,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
British Journal of Clinical Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
British Journal of Developmental Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
British Journal of Educational Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
British Journal of General Practice,1,1,Indefinite,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,0
British Journal of Health Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
British Journal of Mathematical and Statistical Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
British Journal of Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
British Journal of Social Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
Buildings and Cities,1,1,Indefinite,NA,1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,0
Business & Information Systems Engineering: Human Computer Interaction and Social Computing,1,1,Indefinite,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,0
Campbell Systematic Reviews,1,1,Indefinite,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0
Canadian Journal of Experimental Psychology,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,0
Canadian Journal of School Psychology,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,0
Cancers,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,0
Cancer Medicine,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
Cancer Reports,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,NA,1,0
Cardiology Cases and Systematic Reviews,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Child Development,1,1,Special issue only (x2),1,1,NA,1,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,1,0
Clinical Endocrinology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,0
Clinical Otolaryngology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
Clinical Psychology in Europe,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Clocks & Sleep,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Cochrane Reviews,1,1,Indefinite,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,0
Cogent Psychology,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Cognition & Emotion,1,1,Indefinite,1,1,"
","
","
",1,1,1,1,1,NA,1,1,"
","
","
","
",NA,0
Cognitive Linguistics,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1
Cognitive Research: Principles and Implications,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0
Collabra: Psychology,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Communication Research Reports,1,1,Indefinite,1,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0
Comparative Political Studies,1,1,Special issue only,1,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,0
Comprehensive Results in Social Psychology,1,1,Indefinite,1,1,1,1,1,1,1 (discretionary),1,1,1,1,1,1,1,1,1,NA,NA,0
Computational Communication Research,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Computational Psychiatry,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Computer Science Education,1,1,Special issue only,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0
Consciousness and Cognition,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,0
Conservation Biology,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,0
Cortex,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,"1
Note: journal also sets α=.02",1,NA,1,NA,NA,1,0
Crisis,1,1,Indefinite,1,1,TBA,TBA,TBA,1,1,TBA,TBA,TBA,TBA,TBA,TBA,NA,TBA,TBA,TBA,1,0
Developmental Cognitive Neuroscience,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Developmental Science,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,0
Discover Chemical Engineering,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,0
Discover Energy,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,0
Discover Internet of Things,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,0
Discover Materials,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,0
Discover Oncology,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,0
Discover Social Science and Health,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,0
Discover Sustainability,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,0
Discover Water,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,0
Discourse Processes,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Drug and Alcohol Dependence,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0
Ecological Solutions and Evidence,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,NA,NA,NA,0
Ecology and Evolution,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,1,1,1,0
eLife,1,1,Special Issue RP:CB only,NA,1,NA,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,0
Emerald Open Research,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,0
Emerging Adulthood,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,0
"Endocrinology, Diabetes & Metabolism",1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,0
eNeuro,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Entrepreneurship Theory and Practice,1,1,Indefinite,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Environment International,1,1,Indefinite,NA,NA,1 (systematic reviews),1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,0
Equine Veterinary Journal,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,0
European Journal of Cancer Care,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
European Journal of Neuroscience,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
European Journal of Personality,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,0
European Journal of Psychological Assessment,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0
European Journal of Psychotraumatology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
European Journal of Social Psychology,1,1,Indefinite,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,0
Evolution and Human Behavior,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,0
Evolutionary Human Sciences,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,0
Exceptional Children,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Experimental Economics,1,1,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Experimental Physiology,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Experimental Psychology,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1 (in part),NA,NA,NA,1,0
F1000Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
Fertility and Sterility,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,0
Frontiers in Cognition (a),1,1,Special issue only,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0
Frontiers in Cognition (b),1,1,Special issue only,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Frontiers in Communication,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Communication and Networks,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Computer Science,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Education,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Genetics,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Neuroscience,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Nutrition,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Plant Science,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Psychology,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Psychiatry,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Sociology,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Sports and Active Living,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Frontiers in Virtual Reality,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
Gates Open Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
Gesture,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,NA,0
Gifted Child Quarterly,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
Glossa Psycholinguistics,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,1
Health Psychology Bulletin,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,1 (in full),NA,NA,NA,NA,0
HRB Open Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,0
Human Behavior and Emerging Technologies,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Human Movement Science,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0
Human Resource Management Journal,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
i-Perception,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"Immunity, Inflammation and Disease",1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,0
Infancy,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0
Infant and Child Development,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,0
Infant Behaviour and Development,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0
Interactive Journal of Medical Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
International Journal of Eating Disorders,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
International Journal of Psychophysiology,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0
International Journal of Selection and Assessment,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Interdisciplinary Perspectives on the Built Environment,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
International Review of Social Psychology,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,0
Japanese Journal of Political Science,1,1,Indefinite,1,"1 (using ""replication or reanalysis"" format)",1,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,NA,0
JMIR Aging,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Bioinformatics and Biotechnology,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Biomedical Engineering,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Cancer,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Cardio,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Challenges,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
