journal,x1_includes_pre_study_peer_review,x2_offers_provisional_pre_study_acceptance,x3_permanence_of_adoption,x4_offered_for_novel_studies,x5_offered_for_replication_studies,x6_offered_for_meta_analysis,x7_offered_for_analyses_of_existing_data_sets,x8_publishes_registered_reports_only,x9_allows_reporting_of_unregistered_analyses,x10_includes_post_study_peer_review,x11_allows_inclusion_of_unregistered_pilot_studies,x12_requires_public_data_deposition,x13_specifies_structured_criteria_for_editorial_decisions,x14_requires_submitted_protocols_to_have_prior_ethical_approval,x15_specifies_minimum_statistical_power_requirements,x16_will_publish_withdrawn_registrations,x17_publishes_accepted_protocols_in_full_or_part_prior_to_study_completion,x18_offers_incremental_sequential_registration,x19_offers_incremental_addition_of_unregistered_studies,x20_offered_for_qualitative_research,x21_requires_deposition_of_protocol_in_public_registry_following_stage_1_acceptance,is_ling
JMIR Data,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Dermatology,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Diabetes,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Formative Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Human Factors,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Medical Education,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Medical Informatics,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Mental Health,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR mHealth and uHealth,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Nursing,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Pediatrics and Parenting,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Perioperative Medicine,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Preprints,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Public Health and Surveillance,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Rehabilitation and Assistive Technologies,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
JMIR Serious Games,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
Journal for Reproducibility in Neuroscience,1,1,Indefinite - Submission via PCI Registered Reports,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,0
Journal of Accounting Research,1,1,Special issue only,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
Journal of Advanced Academics,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Journal of Business and Psychology,1,1,12-month initial trial,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0
Journal of Business Ethics,1,1,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Journal of Child Language,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,1
Journal of Child Psychology and Psychiatry (JCPP) Advances,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Journal of Clinical Medicine,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,0
Journal of Clinical Nursing,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,1,0
Journal of Cognition,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Journal of Cognition and Development,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Journal of Cognitive Enhancement,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0
Journal of Cognitive Neuroscience,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0
Journal of Cognitive Psychology,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Journal of Computer Assisted Learning,1,1,Special issue only,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Journal of Development Economics,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,0
Journal of Economic Psychology,1,1,Special issue only,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Journal of Educational Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,0
Journal of European Psychology Students,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0
Journal of Evidence-Based Healthcare,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Journal of Experimental Political Science,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,0
"Journal of Experimental Psychology: Learning, Memory and Cognition",1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Journal of Experimental Social Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0
Journal of Illusion,1,1,Indefinite,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0
Journal of Integrated Security and Safety Science,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Journal of Media Psychology,1,1,Indefinite,1,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0
Journal of Medical Internet Research (JMIR),1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
Journal of Memory and Language,1,1,Special issue only,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Journal of Neuropsychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
Journal of Neuroscience Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1 (in full),1,NA,NA,1,0
Journal of Numerical Cognition,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,0
Journal of Occupational and Organizational Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
Journal of Participatory Medicine,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
Journal of Personality,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
Journal of Personality and Social Psychology,1,1,Indefinite,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Journal of Personnel Psychology,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
Journal of Physiotherapy Research,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Journal of Plant Nutrition and Soil Science,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,0
Journal of Psychiatric and Mental Health Nursing,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,0
Journal of Research in Personality,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0
Journal of Research in Reading,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,0
Journal of Surgery and Clinical Reports,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Journal of the American Academy of Child and Adolescent Psychiatry,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA,0
Judgement and Decision Making,1,1,Indefinite,1,1,1,1,NA,1,1 (at editorial discretion),1,1,NA,NA,NA,NA,NA,NA,1,NA,1,0
Laboratory Phonoloy,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Language and Speech,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1
Language Learning,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,1,1,1
"Laterality: Asymmetries of brain, behaviour, and cognition",1,1,Indefinite,1,1,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Law and Human Behavior,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Learning and Instruction,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0
Learning Disabilities Quarterly,1,1,Special issue only,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Legal and Criminological Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
Legislative Studies Quarterly,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
"Lifestyle Medicine
",1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,0
Linguistics,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1
Management and Organization Review,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
Media and Communication,1,1,Special issue only,1,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0
Medicine 2.0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA,0
Memory,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Meta-psychology,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
"Mind, Brain and Education",1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
MNI Open Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
Music Perception,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
NC3RS Gateway,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
Nature Communications,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,0
Nature Human Behaviour,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Negotiation and Conflict Management Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Neurobiology of Language,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,1
NeuroImage,1,1,Special Issue only (2 year pilot),1,1,1,1,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,1,0
NeuroImage Reports,1,1,Indefinite,1,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Neuropsychopharmacology Reports,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
Neuroscience of Consciousness,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Nicotine & Tobacco Research,1,1,Indefinite,NA,1 Solicited topics only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NFS Journal,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Nursing Reports,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Oxford Open Economics,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,0
Open Psychology,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Open Research Europe,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
Pacific-Basin Finance Journal,1,1,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Paediatric and Neonatal Pain,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,0
PCI Ecology,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
"Peer Community in Registered Reports

 https://rr.peercommunityin.org/",1,1,Indefinite,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1 (optional for authors),1,NA,1,1,0
PeerJ,1,1,Special issue only,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
Perception,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Personal Relationships,1,1,Special issue,1,1,TBA,TBA,TBA,TBA,1,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Personality Science,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Plant Direct,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,0
PLOS Biology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,1,NA,NA,1,0
PLOS ONE,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,0
PNAS Nexus,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,0
Political Analysis,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Political Behavior,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Political Science Quarterly,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Political Science Research and Methods,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Politics and the Life Science,1,1,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Psicológica,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Psychology and Marketing,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,1,0
Psychology and Sexuality,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Psychology of Addictive Behaviors,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Psychology of Sport and Exercise,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0
Psychonomic Bulletin and Review,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Psychological Science,1,1,Indefinite,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Psychological Test Adaptation and Development,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Psychology & Health,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,NA,1,1,NA,1,NA,NA,1,0
"Psychology and Psychotherapy: Theory, Research and Practice",1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,0
Psycho-Oncology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
Psychophysiology,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Public Opinion Quarterly,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Q Open,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Quality of Life Research,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Quarterly Journal of Experimental Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Registered Reports in Kinesiology,1,1,Indefinite,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Registered Reports in Psychology,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Research & Politics,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Royal Society Open Science,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,0
Science and Medicine in Football,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Scientific Reports,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Scientific Studies of Reading,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Social Psychology,TBA,TBA,Indefinite,1,1,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Social Influence,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Social Psychological Bulletin,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Spanish Journal of Psychology,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,0
State Politics and Policy Quarterly,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Stress & Health,1,1,Indefinite,1,1,1,1,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0
Studia Psychologica,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"Technology, Mind, and Behavior",1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
The International Journal for the Psychology of Religion,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
The Leadership Quarterly,1,1,Indefinite,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
The Review of Corporate Finance Studies,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
The Review of Financial Studies,1,1,Special issue,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
Wellcome Open Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
"Work, Aging and Retirement",1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Zeitschrift für Psychologie,1,1,Special issue,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Communication Methods and Measures,NA,NA,Special Issue only,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Journal of Experimental Psychology: General,1,NA,Indefinite,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
