Server,Discipline(s),Database Size,Year Created,URL
LingBuzz,General Linguistics,"+8,000",2006,https://ling.auf.net/lingbuzz
Open Science Framework,Multidisciplinary (includes Linguistics),+3M,2011,https://osf.io/preprints
PsyArXiv,"Psychology, Cognitive Sciences, Psycholinguistics, Linguistics","+30,000",2016,https://osf.io/preprints/psyarxiv
Cogprints,Multidisciplinary (includes Cognitive Sciences and Linguistics),"+4,000",1995,https://web-archive.southampton.ac.uk/cogprints.org/
SocArXiv,Social Sciences (includes Sociolinguistics),"+10,000",2016,https://osf.io/preprints/socarxiv
EdArXiv,Education Research (includes Applied Linguistics,"+1,000",2018,https://osf.io/preprints/edarxiv
Computational Linguistics Open Archive (CLARIN),Language-Based Research,N/A,2012,https://www.clarin.eu/
ACL Anthology,Computational Linguistics and NLP,"+10,000",2004,https://aclanthology.org/
arXiv,"Multidisciplinary (includes Computational Linguistics, NLP)","+2,5M",1991,https://arxiv.org/
SciELO Preprints,"Research pertinent to Latin America, Spain, Portugal and South Africa","+140,000",1998,https://preprints.scielo.org/index.php/scielo/preprints
HAL (Hyper Articles en Ligne),Multidisciplinary (includes Language-Specific French Linguistics),+1M,2001,https://hal.science/